latitude,longitude,number,time,step,isobaricInhPa,valid_time,t,u,v,vo,w_mps
60.0,-71.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.74031,21.760727,8.348145,-1.9509811e-05,-0.024852892489471534
60.0,-71.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.88338,21.514633,8.227051,-1.7945189e-05,-0.02058899316736519
60.0,-71.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.9908,21.23143,8.125488,-1.6469974e-05,-0.015516683209552825
60.0,-70.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.07137,20.938461,8.031738,-1.5143771e-05,-0.012039513012925914
60.0,-70.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.14265,20.647446,7.9536133,-1.3638753e-05,-0.01128249999487135
60.0,-70.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.22224,20.344711,7.8793945,-1.1582393e-05,-0.012688556989249583
60.0,-70.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.3155,20.008774,7.8129883,-8.751173e-06,-0.014417069952263535
60.0,-69.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.41463,19.629868,7.746582,-5.204696e-06,-0.014824370250101984
60.0,-69.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.50056,19.213852,7.6879883,-1.211185e-06,-0.012985064831138777
60.0,-69.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.55232,18.778305,7.6411133,2.8866343e-06,-0.009096655962801277
60.0,-69.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.5572,18.354477,7.6254883,6.626826e-06,-0.004162287051785175
60.0,-68.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.5157,17.971664,7.6567383,9.681564e-06,0.000651803981992053
60.0,-68.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.43904,17.66307,7.742676,1.1976343e-05,0.004581118459892582
60.0,-68.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.34676,17.448227,7.8793945,1.3645273e-05,0.007064246466659516
60.0,-68.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.25935,17.33104,8.059082,1.4807563e-05,0.0077025376730450535
60.0,-67.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.19197,17.284164,8.277832,1.5433412e-05,0.00645857466179912
60.0,-67.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.15096,17.272446,8.516113,1.553772e-05,0.00381436707741508
60.0,-67.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.13387,17.26854,8.758301,1.5388709e-05,0.0011312090275299577
60.0,-67.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.13142,17.252914,8.992676,1.5358906e-05,-0.0003103282886047343
60.0,-66.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.1324,17.221664,9.223145,1.5582424e-05,-0.0005105423195396505
60.0,-66.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.12752,17.180649,9.441895,1.5686732e-05,-0.00039040620515911695
60.0,-66.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.11336,17.13182,9.64502,1.5135389e-05,-0.0005505380873709702
60.0,-66.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.09138,17.086899,9.820801,1.3689976e-05,-0.00031027285619088447
60.0,-65.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.06892,17.065414,9.95752,1.1618715e-05,0.0008906940520586185
